Vietnamese,Anger,Disgust,Fear,Enjoyment,Sadness,Surprise,
mỹ miều,0,0,0,1,0,0,1
nắm bom,1,0,1,0,0,0,2
nản chí,0,0,1,0,1,0,2
ngả màu,0,0,0,0,1,0,1
ngầm hiểu,0,0,0,1,0,0,1
ngấm ngầm,0,1,1,0,0,0,2
ngẩn người,0,0,1,0,1,0,2
ngẩn tò te,0,0,0,0,1,1,2
ngang bằng,0,0,0,1,0,0,1
ngạo mạn,1,1,0,0,0,0,2
ngập ngừng,0,0,1,0,1,0,2
ngày nghỉ,0,0,0,1,0,0,1
ngay thơ,0,0,0,1,0,0,1
nghe lời,0,0,0,0,0,0,0
nghèo túng,0,0,1,0,1,0,2
nghịch tai,0,1,0,0,0,0,1
nghiêm trọng,0,0,1,0,1,0,2
ngoa ngoắt,1,1,0,0,0,0,2
ngoại tình,0,1,0,0,1,0,2
ngoan đạo,0,0,0,1,0,0,1
ngốc,0,0,0,1,0,0,1
ngọn,0,0,0,1,0,0,1
ngon xơi,0,0,0,1,0,0,1
ngọt xớt,0,0,0,1,0,1,2
ngu si,1,1,0,0,0,0,2
ngược đãi,1,0,1,0,0,0,2
nguội lạnh,0,1,0,0,0,0,1
nguội ngắt,0,0,0,0,1,0,1
nguội nghe nguội ngắt,0,0,0,0,1,0,1
người ngoài hành tinh,0,1,1,0,0,0,2
nguội tanh,0,0,0,0,1,0,1
nguội tanh nguội ngắt,0,0,0,0,1,0,1
nguồn lực,0,0,0,1,0,0,1
nguồn tài nguyên,0,0,0,1,0,0,1
ngượng,0,1,0,0,1,0,2
ngưỡng mộ,0,0,0,1,0,0,1
nguyên chất,0,0,0,0,0,0,0
nguyền rủa,1,1,0,0,0,0,2
nguyên sơ,0,0,0,0,0,0,0
nhà làm,0,0,0,1,0,0,1
nhã nhặn,0,0,0,1,0,0,1
nhà vua,0,0,1,0,0,0,1
nhân đạo,0,0,0,1,0,0,1
nhẫn lại,0,0,0,0,0,0,0
nhẵn thin thín,0,0,0,1,0,1,2
nhanh nhẩu,0,0,0,0,0,1,1
nhao nhao,1,1,0,0,0,0,2
nhấp nháy,0,0,0,1,0,1,2
Nhật kí,0,0,0,1,0,0,1
nhát như thỏ đế,0,0,1,0,1,0,2
nhảy,0,0,0,1,0,0,1
nhạy bén,0,0,0,0,0,0,0
nhẹ dạ,0,0,0,1,0,0,1
nhẹ dạ cả tin,1,1,0,0,0,0,2
nhiệt huyết,0,0,0,1,0,0,1
nhiều rủi ro,0,0,0,0,1,0,1
nhọn,0,1,1,0,0,0,2
nhọn hoăn hoắt,0,0,1,0,0,1,2
nhọn hoắt,0,0,1,0,0,1,2
nhốn nháo,1,1,0,0,0,0,2
nhớp nháp,0,1,1,0,0,0,2
nhợt nhạt,0,0,1,0,1,0,2
nhùng nhằng,0,0,1,0,0,0,1
nhuốm máu,0,1,1,0,0,0,2
niềm vui,0,0,0,1,0,0,1
nổi giận,1,1,0,0,0,0,2
nổi loạn,1,0,1,0,0,0,2
nổi tiếng,0,0,0,1,0,0,1
nồng hậu,0,0,0,1,0,0,1
nóng lòng,0,0,1,0,0,0,1
nồng nhiệt,0,0,0,1,0,0,1
nông nổi,1,1,0,0,0,0,2
nóng tính,1,1,0,0,0,0,2
nửa đùa nửa thật,1,0,0,0,0,0,1
nực cười,0,1,0,0,0,1,2
ố,0,0,0,0,1,0,1
ố màu,0,0,0,0,1,0,1
ố vàng,0,1,0,0,1,0,2
oán,1,1,0,0,0,0,2
oán giận,1,1,0,0,0,0,2
oanh tạc,1,0,1,0,0,0,2
ôi thiu,0,1,1,0,0,0,2
ôi thối,0,1,1,0,0,0,2
ôm ấp,0,0,0,1,0,0,1
om sòm,1,1,0,0,0,0,2
ốm tương tư,0,0,0,0,1,0,1
om xòm,1,1,0,0,0,0,2
ơn trời,0,0,0,1,0,1,2
phá hại,1,1,0,0,0,0,2
pha tạp,0,1,0,0,1,0,2
phạm luật,0,0,1,0,1,0,2
phẫn,1,1,0,0,0,0,2
phân biệt,1,0,0,0,1,0,2
phân biệt đối xử,1,1,0,0,0,0,2
phần chính,0,0,0,1,0,0,1
phản đối,1,0,0,0,1,0,2
phân đông,0,0,0,1,0,0,1
phản động,1,1,0,0,0,0,2
phản lại,1,1,0,0,0,0,2
phần lớn,0,0,0,1,0,0,1
phẫn nộ,1,1,0,0,0,0,2
phân tâm,1,1,0,0,0,0,2
phân tích,0,0,0,0,0,0,0
phát đạt,0,0,0,1,0,0,1
phát điên lên,1,0,1,0,0,0,2
phiền nhiễu,1,1,0,0,0,0,2
phiền phức,0,0,0,0,1,0,1
phiền toái,0,0,0,0,1,0,1
phồn vinh,0,0,0,1,0,0,1
phù dâu,0,0,0,1,0,0,1
phù lên,0,0,0,0,1,0,1
phủ nhận,1,1,0,0,0,0,2
phụ thuộc,0,0,0,0,0,0,0
phù thủy,0,0,0,0,0,1,1
quá kích động,1,0,1,0,0,0,2
quái dị,0,0,1,0,0,1,2
quái thú,1,0,1,0,0,0,2
quân tử,0,0,0,0,0,0,0
quật bằng dây lưng,1,0,1,0,0,0,2
quấy rầy,1,0,0,0,1,0,2
quy củ,0,0,0,0,0,0,0
quý hiếm,0,0,0,1,0,0,1
quyến rũ,0,0,0,1,0,0,1
rải rác,0,1,0,0,0,0,1
rạng rỡ,0,0,0,1,0,0,1
rạo rực,0,0,0,0,0,1,1
rất hay,0,0,0,1,0,0,1
reo hò,0,0,0,0,0,0,0
rét,0,1,0,0,0,0,1
rét buốt,0,1,0,0,0,0,1
rét căm căm,0,1,0,0,0,0,1
rét cắt da cắt thịt,0,1,0,0,0,0,1
rét mướt,0,1,0,0,0,0,1
rối tắm,1,1,0,0,0,0,2
rộng lụng thụng,0,1,0,0,0,0,1
sắc,0,1,1,0,0,0,2
sạch,0,0,0,1,0,0,1
sạch sẽ,0,0,0,1,0,0,1
sai phạm,0,1,0,0,1,0,2
sai quy tắc,1,1,0,0,0,0,2
sản xuất thủ công,0,0,0,1,0,0,1
sáng bóng,0,0,0,1,0,1,2
sáng dạ,0,0,0,1,0,0,1
sáng loá,0,0,0,1,0,1,2
sáng loáng,0,0,0,1,0,1,2
sành sỏi,0,0,0,1,0,0,1
sát khuẩn,0,0,0,0,0,0,0
sát trùng,0,0,0,0,0,0,0
sâu cay,1,1,0,0,0,0,2
sầu thảm,0,0,1,0,1,0,2
sỉ nhục,1,1,0,0,0,0,2
siêu nhân,0,0,0,1,0,0,1
sinh khí,0,0,0,1,0,0,1
sinh sự,1,0,1,0,0,0,2
sợ hãi,0,0,1,0,1,0,2
sống lại,0,0,0,0,0,0,0
sống lâu năm,0,0,0,0,0,1,1
sốt sắng,0,0,0,1,0,0,1
sự giàu có,0,0,0,1,0,0,1
sự giàu sang,0,0,0,1,0,0,1
sự kính yêu,0,0,0,1,0,0,1
sự phẫn nộ,1,0,1,0,0,0,2
sự quý mến,0,0,0,1,0,0,1
sức cùng lực kiệt,1,1,0,0,0,0,2
sức nặng,0,0,1,0,0,0,1
sức sống,0,0,0,1,0,0,1
súc vật,1,0,1,0,0,0,2
sung công,0,0,0,0,1,0,1
sưng húp,0,0,0,0,1,0,1
sưng lên,0,0,0,0,1,0,1
sung mãn nhất,0,0,0,1,0,0,1
sưng phù lên,0,0,0,0,1,0,1
sút giảm,0,0,0,0,1,0,1
suy tàn,0,1,0,0,1,0,2
tà dâm,1,1,0,0,0,0,2
tạ lỗi,0,0,0,0,1,0,1
tắc thở,0,1,1,0,0,0,2
tắc trách,1,1,0,0,0,0,2
tách biệt,0,0,1,0,0,0,1
tách ra,1,0,0,0,1,0,2
tai hại,0,0,1,0,1,0,2
tái ngắt,0,0,1,0,0,1,2
tái xanh,0,0,1,0,0,1,2
tạm bợ,0,0,0,0,1,0,1
tâm phúc,0,0,0,0,0,0,0
tâm thần,0,0,1,0,1,0,2
tàn ác,1,1,0,0,0,0,2
tấn công,0,1,1,0,0,0,2
tán gái,0,0,0,1,0,0,1
tàn lụi,0,1,0,0,1,0,2
tàn tật,0,0,1,0,1,0,2
tạp nham,0,1,0,0,1,0,2
tấy,0,1,1,0,0,0,2
tệ hơn,0,0,1,0,1,0,2
tha tội,0,0,0,1,0,0,1
thảm hoạ,0,0,1,0,1,0,2
thảm kịch,0,0,1,0,1,0,2
thâm tím,0,1,0,0,1,0,2
thần tiên,0,0,0,1,0,1,2
thân tín,0,0,0,0,0,0,0
thân yêu,0,0,0,1,0,0,1
thánh đường,0,0,0,1,0,0,1
thành kính,0,0,0,0,0,0,0
thanh tao,0,0,0,1,0,0,1
thành thạo,0,0,0,1,0,0,1
thánh thiện,0,0,0,1,0,0,1
thanh thoát,0,0,0,1,0,0,1
thanh tú,0,0,0,1,0,0,1
thấp,0,1,0,0,1,0,2
thật,0,0,0,1,0,0,1
thất tình,0,0,0,0,1,0,1
thay đổi thất thường,1,1,0,0,0,0,2
theo chủ nghĩa hoà bình,0,0,0,0,0,0,0
theo lề thói,0,0,0,1,0,0,1
theo tập quán,0,0,0,1,0,0,1
theo tục lệ,0,0,0,1,0,0,1
thích đáng,0,0,0,0,0,0,0
thiên đàng,0,0,0,1,0,0,1
thiên đường,0,0,0,1,0,0,1
thiện tâm,0,0,0,1,0,0,1
thiên thần,0,0,0,1,0,0,1
thiếu tế nhị,0,1,0,0,1,0,2
thiếu thốn,0,0,1,0,1,0,2
thiếu tinh thần trách nhiệm,1,1,0,0,0,0,2
thiếu trách nhiệm,1,1,0,0,0,0,2
thiếu tự tin,0,1,0,0,1,0,2
thô bạo,0,1,1,0,0,0,2
thô bỉ,1,1,0,0,0,0,2
thô lỗ,0,1,1,0,0,0,2
thô thiển,0,1,0,0,0,1,2
thóc mách,1,1,0,0,0,0,2
thọc mạch,1,1,0,0,0,0,2
thối rữa,0,1,1,0,0,0,2
thơm ngon,0,0,0,1,0,0,1
thống nhất,0,0,0,0,0,0,0
thông thái,0,0,0,0,0,0,0
thủ đoạn,1,1,0,0,0,0,2
thu hoạch,0,0,0,1,0,0,1
thú nhận,0,0,0,0,0,0,0
thú tội,0,0,0,0,0,0,0
thú vật,1,0,1,0,0,0,2
thuần chất,0,0,0,0,0,0,0
thuần hậu,0,0,0,1,0,0,1
thuần nhất,0,0,0,1,0,0,1
thực,0,0,0,1,0,0,1
thương tâm,0,0,0,0,1,0,1
thương tổn,0,0,0,0,1,0,1
thương yêu,0,0,0,1,0,0,1
thụt lại,0,0,0,0,1,0,1
thụt lùi,0,0,0,0,1,0,1
tịch thu,0,0,0,0,1,0,1
tiềm năng,0,0,0,0,0,0,0
tiêm nhiễm,0,1,1,0,0,0,2
tiền phạt,1,0,0,0,1,0,2
tiến triển,0,0,0,1,0,0,1
tím bầm,0,1,0,0,1,0,2
tìm thấy,0,0,0,1,0,0,1
tin cậy,0,0,0,1,0,0,1
tin tưởng,0,0,0,1,0,0,1
tính bạn,0,0,0,1,0,0,1
tình cảm,0,0,0,1,0,0,1
tính cầm thú,0,1,1,0,0,0,2
tính cáu gắt,1,1,0,0,0,0,2
tinh khiết,0,0,0,1,0,0,1
tình nghi,0,0,0,0,0,0,0
tình người,0,0,0,1,0,0,1
tinh tế,0,0,0,1,0,0,1
tinh thông,0,0,0,1,0,1,2
tình yêu,0,0,0,1,0,0,1
tò mò,0,0,0,0,0,1,1
tò mò tọc mạch,1,1,0,0,0,0,2
toàn diện,0,0,0,1,0,0,1
tọc mạch,1,1,0,0,0,0,2
tồi,0,1,0,0,1,0,2
tồi hơn,0,0,1,0,1,0,2
tới ngưỡng,0,0,0,0,1,0,1
tội thông dâm,0,1,0,0,1,0,2
tống tiền,1,0,1,0,0,0,2
tốt bụng,0,0,0,1,0,0,1
tốt lành,0,0,0,1,0,0,1
trải đời,0,0,0,0,0,0,0
trái luật,0,0,1,0,1,0,2
trầm trọng,0,0,1,0,1,0,2
trấn an,0,0,0,0,0,0,0
tràn đầy,0,0,0,1,0,1,2
trần như nhộng,0,1,0,0,0,1,2
tràn trề,0,0,0,1,0,1,2
trần truồng,0,1,0,0,0,1,2
tráng lệ,0,0,0,1,0,1,2
trẻ em,0,0,0,1,0,0,1
trêu ngươi,1,1,0,0,0,0,2
trinh tiết,0,0,0,0,0,0,0
trơ tráo,1,1,0,0,0,0,2
trọc,0,0,0,0,1,0,1
trọc đầu,0,0,0,0,1,0,1
trội hơn,0,0,0,1,0,0,1
trốn việc,1,0,0,0,1,0,2
trống huếch trống hoác,0,0,0,0,0,1,1
trọng lực,0,0,1,0,0,0,1
trong sạch,0,0,0,1,0,0,1
trong sáng,0,0,0,1,0,0,1
trưởng thành,0,0,0,0,0,0,0
trượt đi,0,0,0,1,0,0,1
truyền cảm,0,0,0,1,0,0,1
tu,0,0,0,1,0,0,1
từ bỏ,1,0,0,0,1,0,2
tu dưỡng,0,0,0,0,0,0,0
tự huỷ diệt,0,0,1,0,0,1,2
tự huỷ hoại,0,0,1,0,0,1,2
tù mù,0,0,0,0,1,0,1
tức cười,0,1,0,0,0,1,2
tức điên người,1,1,0,0,0,0,2
tức giận,1,1,0,0,0,0,2
từng trải,0,0,0,0,0,0,0
tươi,0,0,0,1,0,0,1
tương tư,0,0,0,0,1,0,1
tuyệt vời,0,0,0,1,0,0,1
ủ dột,0,1,0,0,1,0,2
uất,1,1,0,0,0,0,2
uất hận,1,1,0,0,0,0,2
uất ức,1,1,0,0,0,0,2
uể oải,0,1,0,0,1,0,2
ứng biến,0,0,0,0,0,1,1
ương bướng,1,1,0,0,0,0,2
ướt đẫm ướt đìa,0,1,0,0,0,0,1
ướt lướt thướt,0,0,0,0,1,1,2
ướt như chuột lột,0,0,0,0,1,1,2
ưu việt,0,0,0,1,0,0,1
uy tín,0,0,0,1,0,0,1
văn minh,0,0,0,1,0,0,1
vàng hoe,0,1,0,0,1,0,2
vẻ vang,0,0,0,1,0,0,1
viêm,0,1,1,0,0,0,2
viên mãn,0,0,0,1,0,0,1
viễn thị,0,0,0,0,1,0,1
vinh dự,0,0,0,1,0,0,1
vinh quang,0,0,0,1,0,0,1
vô chính phủ,1,0,1,0,0,0,2
vô giáo dục,0,1,0,0,1,0,2
vô kỉ luật,1,1,0,0,0,0,2
vô liêm sỉ,1,1,0,0,0,0,2
vô ơn,1,1,0,0,0,0,2
vô sinh,0,0,0,0,1,0,1
vô tích sự,0,0,0,0,1,0,1
vô tính,1,1,0,0,0,0,2
vô vị,0,1,0,0,1,0,2
vừa bị ăn cắp,0,0,0,0,1,1,2
vừa bị lấy đi,0,0,0,0,1,1,2
vừa bị trộm đi,0,0,0,0,1,1,2
vừa ý,0,0,0,1,0,0,1
vực sâu,0,0,1,0,1,0,2
vực thẳm,0,0,1,0,1,0,2
vui thích,0,0,0,1,0,0,1
vương vãi,0,1,0,0,0,0,1
vuốt ve,0,0,0,1,0,0,1
xa lạ,0,1,1,0,0,0,2
xác thực,0,0,0,1,0,0,1
xâm lăng,1,0,1,0,0,0,2
xâm lược,1,0,1,0,0,0,2
xán lạn,0,0,0,1,0,0,1
xanh,0,0,0,1,0,0,1
xanh xao,0,0,1,0,1,0,2
xấu số,0,1,0,0,1,0,2
xấu thêm,1,0,0,0,1,0,2
xệp xệ,0,0,0,0,1,0,1
xin lỗi,0,0,0,0,1,0,1
xoi mói,1,1,0,0,0,0,2
xuất chúng,0,0,0,0,0,0,0
xuất sắc,0,0,0,1,0,0,1
xúc phạm,1,1,0,0,0,0,2
xung đột,1,0,1,0,0,0,2
xuôi chiều mát mái,0,0,0,1,0,0,1
xương sống,1,0,0,0,0,0,1
xuyên tạc,1,1,0,0,0,0,2
yên bình,0,0,0,1,0,0,1
yên lặng,0,0,0,1,0,0,1
yên ổn,0,0,0,1,0,0,1
yêu,0,0,0,1,0,0,1
yêu quý,0,0,0,1,0,0,1
yêu thích,0,0,0,1,0,0,1
ác liệt,0,0,1,0,0,0,1
ác nghiệp,0,1,0,0,0,0,1
ác tính,0,0,0,0,1,0,1
ái quốc,0,0,0,0,0,0,0
ái tình,0,0,0,1,0,0,1
âm thầm,0,0,0,1,0,0,1
ẩm thực,0,0,0,0,0,0,0
ẩn,0,0,0,0,1,0,1
ân hận,0,0,0,0,1,0,1
ăn khách nhất,0,0,0,1,0,0,1
ăn mòn,0,0,1,0,0,0,1
ăn năn,0,0,1,0,0,0,1
ẩn náu,0,0,0,0,0,0,0
ăn ở hai lòng,0,0,1,0,0,0,1
ăn sâu thành thói quen,0,0,0,0,1,0,1
ăn thịt,0,0,1,0,0,0,1
ẩn ý,0,0,0,1,0,1,2
ảo ảnh,0,0,0,0,0,1,1
ảo giác,0,0,0,0,0,1,1
ấp ủ,0,0,0,1,0,0,1
ẩu đả,0,0,0,0,1,0,1
Bác sĩ,0,0,0,0,0,0,0
Bách khoa toàn thư,0,0,0,0,0,0,0
bài hát ngắn,0,0,0,1,0,0,1
bại trận,0,0,0,0,1,0,1
bán chạy nhất,0,0,0,1,0,0,1
băn khoăn,0,0,1,0,0,0,1
bận tâm,0,0,1,0,1,0,2
bẩn tưởi,0,0,1,0,0,0,1
bản tường trình,0,0,0,0,0,0,0
bằng đường hàng không,0,0,0,1,0,0,1
bằng hàng không,0,0,0,1,0,0,1
bảo đảm,0,0,0,0,0,0,0
bạo dạn,0,0,0,0,0,0,0
bạo động,1,0,0,0,0,0,1
Bảo hành,0,0,0,0,0,0,0
bão hòa,0,1,0,0,0,0,1
bao kín,0,0,0,0,0,0,0
bảo mẫu,0,0,0,0,0,0,0
bạo tàn,0,0,1,0,0,0,1
bảo về,0,0,0,0,0,0,0
bập bà bập bùng,1,0,0,0,0,0,1
bất cân bằng,0,0,0,0,0,0,0
bất cân đối,0,0,0,0,0,0,0
bất đắc dĩ,0,0,0,0,1,0,1
bất đối xứng,0,0,0,0,1,0,1
bất động,0,0,0,0,0,0,0
bất hoà,0,0,0,0,0,0,0
bất lịch sự,0,1,0,0,0,0,1
bất nhân,0,1,0,0,0,0,1
bất phục tùng,1,0,0,0,0,0,1
bất thường,0,0,0,0,0,1,1
bất trung,0,1,0,0,0,0,1
bậy,0,1,0,0,0,0,1
bền bỉ,0,0,0,0,0,0,0
bền chặt,0,0,0,0,0,0,0
bền chí,0,0,0,0,0,0,0
béo ngậy,0,1,0,0,0,0,1
bét,0,0,0,0,0,1,1
bị bẩn,1,0,0,0,0,0,1
bị bắt buộc,0,0,1,0,0,0,1
bị bóc lột,1,0,0,0,0,0,1
bị bưng bít,0,1,0,0,0,0,1
bị cận thị,0,0,0,0,1,0,1
bị chấn thương,0,0,0,0,0,0,0
bị che đậy,0,1,0,0,0,0,1
bị che giấu,0,1,0,0,0,0,1
bị đánh bại,0,0,0,0,1,0,1
bị động,0,1,0,0,0,0,1
bị động đến,0,1,0,0,0,1,2
bị giấu giếm,0,1,0,0,0,0,1
bị hạn chế,0,0,0,0,0,0,0
bị hắt hủi,0,0,0,0,1,0,1
bị hỏng,0,0,0,0,1,0,1
bị hư,0,0,0,0,1,0,1
bị lẩn khuất,0,1,0,0,0,0,1
bị nghi vấn,0,0,0,0,1,0,1
bị nhiễm trùng,0,0,0,0,1,0,1
bị ruồng bỏ,0,0,0,0,1,0,1
bị ruồng rẫy,0,0,0,0,1,0,1
bị sờn,0,1,0,0,0,0,1
bị táo bón,0,0,0,0,1,0,1
bi thảm,0,0,0,0,1,0,1
bị thất bại,0,0,0,0,1,0,1
bị tiêu diệt,0,0,0,0,1,0,1
bị tình nghi,0,0,0,0,1,0,1
bị từ,0,0,0,0,1,0,1
bị từ bỏ,0,0,0,0,1,0,1
bị vắt kiệt,1,0,0,0,0,0,1
bị vứt bỏ,1,0,0,0,0,0,1
bia,0,0,0,1,0,0,1
biến đổi không ngừng,0,0,0,0,0,1,1
biến đổi liên tục,0,0,0,0,0,1,1
biến đổi từng ngày,0,0,0,0,0,1,1
biện giải,0,0,0,0,0,0,0
biến hình,0,0,0,1,0,1,2
biện hộ,0,0,0,0,0,0,0
biết giữ gìn,0,0,0,0,0,0,0
biết lưu ý,0,0,0,0,0,0,0
bình phục,0,0,0,0,0,0,0
bình thản,0,0,0,0,1,0,1
bình tĩnh,0,0,0,0,0,0,0
bổ ích,0,0,0,0,0,0,0
bỏ mạng che mặt,0,0,0,1,0,0,1
bỏ qua,0,1,0,0,0,0,1
bơ vơ,0,0,0,0,1,0,1
bốc lửa,0,1,0,0,0,0,1
bọc trực,0,0,0,0,0,0,0
bộc trực,0,0,0,0,0,0,0
bôi nhọ,0,1,0,0,0,0,1
bối rối,1,0,0,0,0,0,1
bội thu,0,0,0,0,0,1,1
bóng bảy,0,0,0,0,0,1,1
bóng bẩy,0,0,0,0,0,1,1
bóng lộn,0,0,0,0,0,1,1
bóng ma,0,0,1,0,0,0,1
bóng mát,0,0,0,1,0,0,1
bóng nhẫy,0,0,0,0,0,1,1
bóng nhoáng,0,0,0,0,0,1,1
bóng râm,0,0,0,1,0,0,1
bỏng rộp,0,1,0,0,0,0,1
bừa bộn,0,1,0,0,0,0,1
bụi,0,1,0,0,0,0,1
buồn,0,0,0,0,1,0,1
buồn bã,0,0,0,0,1,0,1
buồn cười,0,0,0,1,0,0,1
buồn đau,0,0,0,0,1,0,1
buồn khổ,0,0,0,0,1,0,1
buồn lòng,0,0,0,0,1,0,1
buồn mửa,0,0,1,0,0,0,1
buồn nản,0,0,0,0,1,0,1
buồn nôn,0,0,1,0,0,0,1
buồn tẻ,0,0,0,0,1,0,1
buồn thảm,0,0,0,0,1,0,1
bướng bỉnh,0,0,0,1,0,0,1
buồng ngủ,0,0,0,0,1,0,1
bứt dứt,0,0,1,0,0,0,1
cả gan,0,0,0,1,0,0,1
cấc láo,1,0,0,0,0,0,1
cãi lộn,0,0,0,0,1,0,1
cai trị,0,0,0,0,0,0,0
cãi vã,1,0,0,0,0,0,1
cam đoan,0,0,0,0,0,0,0
cấm kị,0,0,1,0,0,0,1
cặn,0,1,0,0,0,0,1
căn bản,0,0,0,0,0,0,0
cằn cỗi,0,0,0,0,1,0,1
can đảm,0,0,1,0,0,0,1
cân sức,0,0,0,1,0,0,1
cản trở,0,0,0,0,1,0,1
căng mọng,0,0,0,0,0,0,0
căng tràn,0,0,0,0,0,0,0
cạnh tranh,0,0,0,1,0,0,1
cảnh tượng,0,0,0,0,0,0,0
cao ngất,0,0,0,1,0,1,2
cao tầng,0,0,0,1,0,1,2
cấp tiến,0,0,0,0,0,0,0
cắt đoạn,0,0,0,1,0,0,1
cắt khúc,0,0,0,1,0,0,1
cắt mẩu,0,0,0,1,0,0,1
cắt nhỏ,0,0,0,1,0,0,1
cáu ghét,0,1,0,0,0,0,1
càu nhàu,0,1,0,0,0,0,1
cấu trúc,0,0,0,0,0,0,0
cay,0,1,0,0,0,0,1
chậm chạp,0,1,0,0,0,0,1
chăm chỉ,0,0,0,0,0,0,0
chậm hiểu,0,0,0,0,1,0,1
chậm tiếp thu,0,0,0,0,1,0,1
chán,0,0,0,0,1,0,1
chân chất,0,0,0,0,0,0,0
chấn động,0,0,0,0,0,1,1
chán ngán,0,0,0,0,1,0,1
chắn ngang,1,0,0,0,0,0,1
chán ngắt,0,0,0,0,1,0,1
chân thật,0,0,0,0,0,0,0
chân thực,0,0,0,0,0,0,0
chân trời,0,0,0,0,0,0,0
chào mừng,0,0,0,0,0,1,1
chắp vá,0,0,0,0,0,0,0
chất lượng cao,0,0,0,0,0,0,0
chất phác,0,0,0,0,0,0,0
cháy bỏng,0,0,0,1,0,1,2
chạy được,0,0,0,0,0,0,0
che chở,0,0,0,0,0,0,0
chế độ ăn uống,0,0,0,0,0,0,0
chế giễu,0,1,0,0,0,0,1
chế nhạo,0,1,0,0,0,0,1
chết non,0,0,0,0,1,0,1
chỉ đạo,0,0,0,0,0,0,0
chỉ huy,0,0,0,0,0,0,0
chi phiếu khống,1,0,0,0,0,0,1
chiếm đóng,0,0,0,0,0,0,0
chiến đấu,0,0,0,1,0,0,1
chiến lược,0,0,0,0,0,0,0
chiến tranh,0,0,1,0,0,0,1
chiến tranh du kích,0,0,1,0,0,0,1
chiều sâu,0,0,0,0,0,0,0
chín chắn,0,0,0,0,0,0,0
chính chắn,0,0,0,0,0,0,0
chính hãng,0,0,0,0,0,0,0
chính phủ,0,0,0,0,0,0,0
chính trực,0,0,0,0,0,0,0
chính xác,0,0,0,0,0,0,0
chính xác tuyệt đối,0,0,0,0,0,0,0
chịu,1,0,1,0,0,0,2
chịu đựng,1,0,1,0,0,0,2
chịu trách nhiệm,0,0,0,0,0,0,0
chói lọi,0,0,0,0,0,0,0
chói sáng,0,0,0,1,0,0,1
chói vói,1,0,0,0,0,0,1
chống cự,1,0,0,0,0,0,1
chóng tàn,0,0,1,0,0,0,1
chống thụ thai,0,0,0,0,0,0,0
chóng vánh,0,0,0,1,0,1,2
chống viêm,0,0,0,0,0,0,0
chớp nhoáng,0,0,1,0,0,0,1
chót,0,0,0,0,1,0,1
chủ lực,0,0,0,0,0,0,0
Chủ tịch,0,0,0,0,0,0,0
chưa bị tình nghi,0,0,0,0,0,0,0
chưa cải tạo,0,0,0,0,0,0,0
chưa cải thiện,0,0,0,0,0,0,0
chưa cải tiến,0,0,0,0,0,0,0
chua cay,0,1,0,0,0,0,1
chưa chết,0,0,0,0,0,1,1
chưa chín chắn,0,0,0,0,0,0,0
chưa được dạy,0,0,0,0,0,0,0
chưa được huấn luyện,0,0,0,0,0,0,0
chưa qua tinh chế,0,0,0,0,0,0,0
chưa xác định,0,0,0,0,0,0,0
chúc mừng,0,0,0,0,0,1,1
chúc rượu,0,0,0,1,0,0,1
chùm tia,0,0,0,1,0,0,1
chung chăn chung gối,0,0,0,0,0,0,0
chứng chỉ,0,0,0,0,0,0,0
chứng thực,0,0,0,0,0,0,0
chuyên biệt,0,0,0,0,0,0,0
chuyên chế,0,1,0,0,0,0,1
chuyên gia,0,0,0,0,0,0,0
chuyên môn,0,0,0,0,0,0,0
chuyển nhượng,0,0,0,0,0,0,0
chuyên quyền,0,1,0,0,0,0,1
có ác tâm,0,0,1,0,0,0,1
có ác ý,0,0,1,0,0,0,1
có cải cách,0,0,0,0,0,0,0
có chất thơ,0,0,0,0,0,0,0
có chú ý,0,0,0,1,0,0,1
có của ăn của để,0,0,0,0,0,0,0
cô dì,0,0,0,0,0,0,0
có định hướng,0,0,0,0,0,0,0
có độc hại,0,0,1,0,0,0,1
có đường nét,0,0,0,1,0,0,1
cố gắng,0,0,0,0,0,0,0
có giá trị tài ba,0,0,0,1,0,0,1
có hiệu lực,0,0,0,0,0,0,0
có học thức,0,0,0,0,0,0,0
có hơi thở,0,0,0,0,0,0,0
có kinh nghiệm,0,0,0,0,0,0,0
có lòng tốt,0,0,0,0,0,0,0
có năng lực,0,0,0,0,0,0,0
có phúc,0,0,0,1,0,0,1
có quan tâm,0,0,0,1,0,0,1
có quyền lực,0,0,0,0,0,0,0
có rừng,0,0,0,0,0,0,0
có sức mạnh,0,0,0,0,0,0,0
có sức tác động lớn,0,0,0,0,0,1,1
có tay nghề,0,0,0,0,0,0,0
có thật,0,0,0,0,0,0,0
có thể biến đổi,0,0,0,0,0,1,1
có thể chấp nhận được,0,0,0,0,0,0,0
có thể định rõ,0,0,0,0,0,0,0
có thể nhận ra,0,0,0,0,0,0,0
có thể nhận ra được,0,0,0,0,0,0,0
có thể nhận thấy,0,0,0,0,0,0,0
có thể nhận thấy được,0,0,0,0,0,0,0
có thể nhận thức rõ,0,0,0,0,0,0,0
có thể quan sát được,0,0,0,0,0,0,0
có thể tái sản xuất,0,0,0,0,0,0,0
có thể thay đổi,0,0,0,0,0,1,1
có thể thấy rõ,0,0,0,0,0,0,0
có thể thay thế,0,0,0,1,0,0,1
có thể trao đổi,0,0,0,0,0,0,0
có thể trông thấy được,0,0,0,0,0,0,0
có thể xác định,0,0,0,0,0,0,0
